Sequence,Timestamp_ms,Distance_m,SNR_dB,SNR_EMA_dB,PacketLost,PerRadio_EMA,AuthFail,PerAuth_EMA,Battery,SelectedMode,ModeSwitched,Cost_CTR,Cost_CBC,Cost_GCM,Latency_ms,Latitude,Longitude
45,45065,22.74,12,7.9,0,0,0,0,0.9764,GCM,0,0.3304,0.4059,0.2433,285.92,22.719736,75.857928
46,46066,21.27,12,9.13,0,0,0,0,0.9804,GCM,0,0.3296,0.4049,0.2424,288.95,22.719692,75.857912
47,47067,16.15,12,9.991,0,0,0,0,0.977,GCM,0,0.3303,0.4057,0.2432,288.89,22.719643,75.857845
48,48068,15.34,12,10.594,0,0,0,0,0.977,GCM,0,0.3303,0.4058,0.2432,286.8,22.719656,75.857815
49,49068,22.17,9,10.116,0,0,0,0,0.9813,GCM,0,0.3294,0.4047,0.2421,289.6,22.719698,75.857909
50,50069,20.56,11,10.381,0,0,0,0,0.9738,GCM,0,0.3309,0.4065,0.2439,286.7,22.719698,75.857898
51,51070,21.64,12,10.867,0,0,0,0,0.9753,GCM,0,0.3306,0.4062,0.2436,287.39,22.719699,75.857931
52,52072,16.93,9,10.307,0,0,0,0,0.97,GCM,0,0.3317,0.4075,0.2449,288.27,22.719644,75.857866
53,53073,14.55,8,9.615,0,0,0,0,0.9689,GCM,0,0.3319,0.4078,0.2451,285.11,22.71962,75.857839
54,54073,22.17,7,8.83,0,0,0,0,0.9694,GCM,0,0.3318,0.4076,0.245,289.04,22.719726,75.857902
55,55075,24.09,10,9.181,0,0,0,0,0.979,GCM,0,0.3298,0.4052,0.2427,288.73,22.71972,75.857965
56,56076,10.23,12,10.027,0,0,0,0,0.9793,GCM,0,0.3298,0.4052,0.2426,284.4,22.719582,75.857835
57,57077,16.49,12,10.619,0,0,0,0,0.9708,GCM,0,0.3315,0.4073,0.2447,289.18,22.719659,75.857857
58,58080,25.44,10,10.433,0,0,0,0,0.9697,GCM,0,0.3317,0.4076,0.2449,286.94,22.719734,75.857949
59,59082,14.53,12,10.903,0,0,0,0,0.9673,GCM,0,0.3322,0.4082,0.2455,288.5,22.719613,75.857851
60,60082,28.64,5,9.132,0,0,0,0,0.9691,GCM,0,0.3319,0.4077,0.2451,287.16,22.719761,75.857964
61,61084,20.4,10,9.393,0,0,0,0,0.9665,GCM,0,0.3324,0.4084,0.2457,288.21,22.719716,75.857882
62,62085,30.84,8,8.975,0,0,0,0,0.9689,GCM,0,0.3319,0.4078,0.2451,287.67,22.719765,75.858004
63,63086,21.69,9,8.982,0,0,0,0,0.9714,GCM,0,0.3314,0.4072,0.2445,287.52,22.719682,75.857938
64,64088,30.28,7,8.388,0,0,0,0,0.9691,GCM,0,0.3319,0.4077,0.2451,288.24,22.719752,75.857997
65,65089,30.02,9,8.571,0,0,0,0,0.9709,GCM,0,0.3315,0.4073,0.2446,286.64,22.719769,75.858012
66,66089,31.46,6,7.8,0,0,0,0,0.9645,GCM,0,0.3328,0.4089,0.2462,289.11,22.71979,75.858008
67,67089,28.15,9,8.16,0,0,0,0,0.9642,GCM,0,0.3329,0.4089,0.2463,288.87,22.719743,75.857962
68,68090,25.38,10,8.712,0,0,0,0,0.9642,GCM,0,0.3329,0.409,0.2463,286.93,22.719678,75.857956
69,69092,19.11,10,9.098,0,0,0,0,0.9688,GCM,0,0.3319,0.4078,0.2451,288.21,22.719681,75.857874
70,70093,19.89,12,9.969,0,0,0,0,0.9654,GCM,0,0.3326,0.4087,0.246,289.9,22.719669,75.857905
71,71093,24.54,11,10.278,0,0,0,0,0.9638,GCM,0,0.3329,0.409,0.2464,289.19,22.719724,75.857926
72,72093,30.91,6,8.995,0,0,0,0,0.9569,GCM,0,0.3343,0.4108,0.248,288.48,22.719766,75.857975
73,73096,19.78,4,7.496,0,0,0,0,0.964,GCM,0,0.3329,0.409,0.2463,289.4,22.71969,75.85788
74,74100,6.51,12,8.847,0,0,0,0,0.9595,GCM,0,0.3338,0.4101,0.2474,288.25,22.719586,75.857762
75,75100,31.16,10,9.193,0,0,0,0,0.9597,GCM,0,0.3338,0.4101,0.2474,287.12,22.719768,75.857982
76,76101,16.9,11,9.735,0,0,0,0,0.9567,GCM,0,0.3344,0.4108,0.2481,289.02,22.719651,75.857875
77,77102,14.49,12,10.415,0,0,0,0,0.9633,GCM,0,0.333,0.4092,0.2465,286.23,22.719631,75.857837
78,78105,30.9,8,9.69,0,0,0,0,0.9645,GCM,0,0.3328,0.4089,0.2462,286.95,22.719781,75.858013
79,79106,22.41,12,10.383,0,0,0,0,0.9571,GCM,0,0.3343,0.4107,0.248,286.23,22.719694,75.857922
80,80108,29.16,11,10.568,0,0,0,0,0.9643,GCM,0,0.3329,0.4089,0.2463,289.19,22.719785,75.857983
81,81109,16.66,12,10.998,0,0,0,0,0.9581,GCM,0,0.3341,0.4105,0.2477,285.96,22.719621,75.857856
82,82113,16.32,12,11.298,0,0,0,0,0.9583,GCM,0,0.3341,0.4104,0.2477,287.85,22.719648,75.857871
83,83113,30.06,5,9.409,0,0,0,0,0.9596,GCM,0,0.3338,0.4101,0.2474,284.86,22.719784,75.857986
84,84116,18.34,12,10.186,0,0,0,0,0.9584,GCM,0,0.334,0.4104,0.2477,287.37,22.719644,75.857872
85,85118,26,9,9.83,0,0,0,0,0.9577,GCM,0,0.3342,0.4106,0.2479,288.25,22.719729,75.857955
86,86121,21.49,11,10.181,0,0,0,0,0.9616,GCM,0,0.3334,0.4096,0.2469,289.52,22.719684,75.857907
87,87124,29.4,10,10.127,0,0,0,0,0.9598,GCM,0,0.3338,0.41,0.2473,284.19,22.719764,75.857995
88,88126,23.73,10,10.089,0,0,0,0,0.961,GCM,0,0.3335,0.4098,0.2471,288.99,22.719712,75.857934
89,89129,13.98,12,10.662,0,0,0,0,0.9509,GCM,0,0.3356,0.4123,0.2495,289.39,22.71962,75.857834
90,90129,26.18,8,9.864,0,0,0,0,0.9498,GCM,0,0.3358,0.4125,0.2498,291.41,22.719726,75.857978
91,91130,19.21,12,10.504,0,0,0,0,0.9574,GCM,0,0.3342,0.4106,0.2479,288.87,22.719653,75.85791
92,92132,24.3,12,10.953,0,0,0,0,0.9614,GCM,0,0.3334,0.4096,0.2469,287.38,22.719726,75.857927
93,93134,18.94,8,10.067,0,0,0,0,0.963,GCM,0,0.3331,0.4092,0.2466,288.01,22.719693,75.857898
94,94136,20.23,9,9.747,0,0,0,0,0.9577,GCM,0,0.3342,0.4106,0.2478,290.84,22.719682,75.857878
95,95138,18.63,12,10.423,0,0,0,0,0.9539,GCM,0,0.335,0.4115,0.2488,286.03,22.719645,75.857892
96,96141,20.71,7,9.396,0,0,0,0,0.958,GCM,0,0.3341,0.4105,0.2478,286.8,22.719696,75.857907
97,97142,21.52,11,9.877,0,0,0,0,0.9572,GCM,0,0.3343,0.4107,0.248,287.41,22.719674,75.857944
98,98142,28.79,7,9.014,0,0,0,0,0.9598,GCM,0,0.3338,0.41,0.2473,289.74,22.719763,75.85796
99,99145,16.83,12,9.91,0,0,0,0,0.9546,GCM,0,0.3348,0.4114,0.2486,288.88,22.719637,75.857858
100,100146,22.91,9,9.637,0,0,0,0,0.9492,GCM,0,0.3359,0.4127,0.2499,289.35,22.719701,75.857924
101,101148,26.73,10,9.746,0,0,0,0,0.9583,GCM,0,0.3341,0.4104,0.2477,288.58,22.719727,75.857953
102,102148,15.94,12,10.422,0,0,0,0,0.9461,GCM,0,0.3366,0.4135,0.2507,285.78,22.719658,75.857872
103,103149,24.33,6,9.095,0,0,0,0,0.9476,GCM,0,0.3362,0.4131,0.2503,287.21,22.719677,75.857942
104,104151,25.6,10,9.367,0,0,0,0,0.9546,GCM,0,0.3348,0.4113,0.2486,289.6,22.71974,75.857934
105,105152,25.1,9,9.257,0,0,0,0,0.9568,GCM,0,0.3344,0.4108,0.2481,290.58,22.719725,75.85793
106,106154,21.58,12,10.08,0,0,0,0,0.9471,GCM,0,0.3363,0.4132,0.2504,284.87,22.719693,75.857886
107,107157,24.35,7,9.156,0,0,0,0,0.952,GCM,0,0.3353,0.412,0.2492,286.73,22.71974,75.85793
108,108158,26,9,9.109,0,0,0,0,0.9499,GCM,0,0.3358,0.4125,0.2497,288.97,22.719741,75.857977
109,109160,21.47,12,9.976,0,0,0,0,0.9479,GCM,0,0.3362,0.413,0.2502,287.11,22.719665,75.857901
110,110161,24.74,12,10.583,0,0,0,0,0.9525,GCM,0,0.3353,0.4119,0.2491,289.6,22.719733,75.857933
111,111164,23.58,11,10.708,0,0,0,0,0.9521,GCM,0,0.3353,0.412,0.2492,284.6,22.719726,75.857921
112,112165,31.4,5,8.996,0,0,0,0,0.9429,GCM,0,0.3372,0.4143,0.2514,288.23,22.719763,75.858004
113,113167,31.11,5,7.797,0,0,0,0,0.9489,GCM,0,0.336,0.4128,0.25,289.58,22.719779,75.857999
114,114168,26.86,12,9.058,0,0,0,0,0.9456,GCM,0,0.3367,0.4136,0.2508,286.34,22.719767,75.857959
115,115169,29.56,12,9.941,0,0,0,0,0.9516,GCM,0,0.3354,0.4121,0.2493,288.79,22.719767,75.858015
116,116170,22.07,9,9.658,0,0,0,0,0.9567,GCM,0,0.3344,0.4108,0.2481,288.42,22.719705,75.85792
117,117171,26.44,7,8.861,0,0,0,0,0.9598,GCM,0,0.3338,0.4101,0.2473,286.98,22.719733,75.857955
118,118173,23.94,10,9.203,0,0,0,0,0.949,GCM,0,0.336,0.4127,0.2499,288.27,22.719694,75.857938
119,119175,31.42,7,8.542,0,0,0,0,0.9495,GCM,0,0.3358,0.4126,0.2498,288.29,22.719785,75.858017
120,120175,30.43,9,8.679,0,0,0,0,0.9512,GCM,0,0.3355,0.4122,0.2494,288.26,22.719787,75.857992
121,121179,23.28,11,9.375,0,0,0,0,0.9485,GCM,0,0.3361,0.4129,0.2501,286.81,22.719706,75.857897
122,122182,27.25,8,8.963,0,0,0,0,0.9516,GCM,0,0.3354,0.4121,0.2493,288.46,22.719761,75.857958
123,123183,21.53,7,8.374,0,0,0,0,0.9507,GCM,0,0.3356,0.4123,0.2495,288.63,22.719702,75.857933
124,124184,21.1,12,9.462,0,0,0,0,0.9487,GCM,0,0.336,0.4128,0.25,287.89,22.719688,75.857938
125,125185,32.96,10,9.623,0,0,0,0,0.9488,GCM,0,0.336,0.4128,0.25,286.37,22.719807,75.857992
126,126185,17.5,12,10.336,0,0,0,0,0.9528,GCM,0,0.3352,0.4118,0.249,287.33,22.719642,75.857851
127,127186,40.55,2,7.835,1,0.3,0,0,0.9553,GCM,0,0.69,0.7047,0.538,413.99,22.719867,75.858082
128,128187,23.07,10,8.485,0,0.21,0,0,0.9445,GCM,0,0.5704,0.6091,0.4438,363.21,22.719702,75.857914
129,129189,32.43,9,8.639,0,0.147,0,0,0.9493,GCM,0,0.4933,0.5452,0.3808,335.61,22.719782,75.858012
130,130190,28.85,10,9.048,0,0.1029,0,0,0.9426,GCM,0,0.4448,0.5054,0.3414,321.48,22.719781,75.857981
131,131193,25.2,8,8.733,0,0.072,0,0,0.9448,GCM,0,0.4109,0.4767,0.3131,309.88,22.719754,75.857958
132,132196,32.15,4,7.313,0,0.0504,0,0,0.941,GCM,0,0.3889,0.4584,0.295,302.43,22.719799,75.857993
133,133197,25.98,6,6.919,0,0.0353,0,0,0.947,GCM,0,0.372,0.4436,0.2805,297.39,22.719706,75.857945
134,134198,21.77,7,6.944,0,0.0247,0,0,0.9459,GCM,0,0.3614,0.4347,0.2716,295.17,22.719712,75.857937
135,135199,27.47,9,7.56,0,0.0173,0,0,0.951,GCM,0,0.3529,0.427,0.2641,293.1,22.719733,75.85797
136,136199,30.05,10,8.292,0,0.0121,0,0,0.9388,GCM,0,0.3501,0.4256,0.2626,290.56,22.7198,75.857995
137,137201,16.31,10,8.805,0,0.0085,0,0,0.9446,GCM,0,0.3453,0.4211,0.2582,291.92,22.719655,75.857851
138,138204,25.46,6,7.963,0,0.0059,0,0,0.9351,GCM,0,0.3447,0.4213,0.2583,289.25,22.719736,75.857937
139,139205,9.6,12,9.174,0,0.0042,0,0,0.945,GCM,0,0.3409,0.4173,0.2544,288.96,22.719571,75.85779
140,140207,12.07,12,10.022,0,0.0029,0,0,0.9395,GCM,0,0.3408,0.4176,0.2547,286.3,22.719611,75.857804
141,141210,21.28,7,9.115,0,0.002,0,0,0.9437,GCM,0,0.3391,0.4158,0.2529,287.33,22.719692,75.857906
142,142212,21.6,12,9.981,0,0.0014,0,0,0.9487,GCM,0,0.3374,0.414,0.2512,286.56,22.719694,75.857945
143,143213,28.32,10,9.987,0,0.001,0,0,0.943,GCM,0,0.3382,0.4151,0.2522,288.71,22.719776,75.857986
144,144215,28.73,10,9.991,0,0.0007,0,0,0.9405,GCM,0,0.3384,0.4155,0.2526,290.2,22.719752,75.857993
145,145216,24.91,11,10.293,0,0.0005,0,0,0.9412,GCM,0,0.338,0.4151,0.2523,288.21,22.719711,75.857959
146,146217,22.55,9,9.905,0,0.0003,0,0,0.944,GCM,0,0.3373,0.4143,0.2515,286.57,22.719694,75.857917
147,147218,23.08,11,10.234,0,0.0002,0,0,0.9386,GCM,0,0.3383,0.4155,0.2527,286.6,22.7197,75.857938
148,148219,19.78,12,10.764,0,0.0002,0,0,0.9384,GCM,0,0.3383,0.4155,0.2527,289.62,22.719709,75.857892
149,149222,10.96,11,10.835,0,0.0001,0,0,0.9462,GCM,0,0.3366,0.4136,0.2507,285.3,22.719618,75.857817
150,150222,21.59,8,9.984,0,0.0001,0,0,0.9378,GCM,0,0.3383,0.4156,0.2527,287.65,22.719669,75.85789
151,151224,23.48,10,9.989,0,0.0001,0,0,0.9322,GCM,0,0.3394,0.417,0.2541,288.96,22.719725,75.857934
152,152225,19.13,8,9.392,0,0,0,0,0.9298,GCM,0,0.3399,0.4176,0.2546,286.97,22.719675,75.857872
153,153226,10.75,12,10.175,0,0,0,0,0.934,GCM,0,0.339,0.4165,0.2536,290.95,22.719624,75.857799
154,154230,9.34,12,10.722,0,0,0,0,0.9371,GCM,0,0.3384,0.4158,0.2529,289.92,22.719605,75.857797
155,155232,22.99,8,9.906,0,0,0,0,0.9283,GCM,0,0.3402,0.4179,0.255,288.17,22.719717,75.857919
156,156232,28.83,7,9.034,0,0,0,0,0.9274,GCM,0,0.3404,0.4182,0.2552,286.25,22.719773,75.857987
157,157233,14.37,12,9.924,0,0,0,0,0.9231,GCM,0,0.3412,0.4192,0.2562,286.07,22.719618,75.857815
158,158235,17.23,12,10.547,0,0,0,0,0.932,GCM,0,0.3394,0.417,0.2541,288.57,22.719669,75.857873
159,159235,18.07,12,10.983,0,0,0,0,0.9353,GCM,0,0.3387,0.4162,0.2533,286.74,22.719658,75.857879
160,160237,11.68,12,11.288,0,0,0,0,0.9273,GCM,0,0.3404,0.4182,0.2552,285.95,22.719608,75.857806
161,161238,15.56,12,11.501,0,0,0,0,0.9259,GCM,0,0.3407,0.4185,0.2555,288.75,22.71964,75.857855
162,162239,18.8,9,10.751,0,0,0,0,0.94,GCM,0,0.3378,0.415,0.2521,290.28,22.719644,75.857874
163,163242,21.84,12,11.126,0,0,0,0,0.9382,GCM,0,0.3382,0.4155,0.2526,287.17,22.719687,75.857918
164,164243,28.05,11,11.088,0,0,0,0,0.9341,GCM,0,0.339,0.4165,0.2536,287.54,22.719769,75.857967
165,165245,19.18,9,10.462,0,0,0,0,0.9318,GCM,0,0.3395,0.417,0.2541,288.84,22.719665,75.857873
166,166245,17.73,12,10.923,0,0,0,0,0.9299,GCM,0,0.3398,0.4175,0.2546,288.14,22.71968,75.857889
167,167247,25.01,11,10.946,0,0,0,0,0.9294,GCM,0,0.3399,0.4177,0.2547,287.22,22.71973,75.857955
168,168247,28.11,5,9.162,0,0,0,0,0.9343,GCM,0,0.339,0.4164,0.2535,286.8,22.719737,75.857944
169,169251,13.9,10,9.414,0,0,0,0,0.9261,GCM,0,0.3406,0.4185,0.2555,288.56,22.719645,75.857832
170,170252,13.6,11,9.89,0,0,0,0,0.9181,GCM,0,0.3422,0.4205,0.2574,288.39,22.719613,75.857857
171,171252,32.86,7,9.023,0,0,0,0,0.9184,GCM,0,0.3422,0.4204,0.2574,289.39,22.719761,75.858033
172,172253,13.79,9,9.016,0,0,0,0,0.9275,GCM,0,0.3403,0.4181,0.2551,285.41,22.719636,75.857828
173,173254,18.85,11,9.611,0,0,0,0,0.9199,GCM,0,0.3419,0.42,0.257,286.68,22.719671,75.857893
174,174256,17.59,8,9.128,0,0,0,0,0.9276,GCM,0,0.3403,0.4181,0.2551,290.62,22.719656,75.857885
175,175257,23.59,8,8.789,0,0,0,0,0.9222,GCM,0,0.3414,0.4195,0.2564,286.55,22.719718,75.857949
176,176259,29.72,9,8.853,0,0,0,0,0.9254,GCM,0,0.3408,0.4187,0.2557,287.3,22.719765,75.858009
177,177261,18.94,11,9.497,0,0,0,0,0.9255,GCM,0,0.3407,0.4186,0.2556,289.94,22.719686,75.857885
178,178265,10.13,12,10.248,0,0,0,0,0.9251,GCM,0,0.3408,0.4187,0.2557,289.49,22.719605,75.857812
179,179265,29.39,5,8.673,0,0,0,0,0.9265,GCM,0,0.3405,0.4184,0.2554,289.83,22.719761,75.85798
180,180268,18.15,11,9.371,0,0,0,0,0.9282,GCM,0,0.3402,0.418,0.255,287.31,22.719669,75.857856
181,181270,30.28,9,9.26,0,0,0,0,0.9285,GCM,0,0.3401,0.4179,0.2549,290.79,22.719773,75.857986
182,182271,16.61,12,10.082,0,0,0,0,0.9249,GCM,0,0.3409,0.4188,0.2558,287.88,22.71967,75.857863
183,183271,28.1,3,7.957,0,0,0,0,0.9272,GCM,0,0.3404,0.4182,0.2552,286.96,22.719757,75.85797
184,184273,19.21,9,8.27,0,0,0,0,0.9262,GCM,0,0.3406,0.4185,0.2555,291.07,22.71967,75.857887
185,185275,19.74,12,9.389,0,0,0,0,0.9209,GCM,0,0.3417,0.4198,0.2568,289.03,22.719688,75.85789
186,186278,20.35,11,9.872,0,0,0,0,0.9179,GCM,0,0.3423,0.4205,0.2575,285.02,22.719706,75.857926
187,187279,9.33,12,10.511,0,0,0,0,0.9205,GCM,0,0.3418,0.4199,0.2569,289.26,22.719597,75.857778
188,188281,23.07,10,10.357,0,0,0,0,0.9185,GCM,0,0.3422,0.4204,0.2574,290.07,22.719715,75.857918
189,189282,18.5,11,10.55,0,0,0,0,0.9219,GCM,0,0.3415,0.4195,0.2565,286.78,22.719657,75.857887
190,190283,14.71,12,10.985,0,0,0,0,0.9212,GCM,0,0.3416,0.4197,0.2567,286.88,22.719639,75.857845
191,191284,15.34,12,11.29,0,0,0,0,0.9193,GCM,0,0.342,0.4202,0.2571,289.07,22.719651,75.857844
192,192286,20.74,10,10.903,0,0,0,0,0.9234,GCM,0,0.3412,0.4191,0.2561,289.27,22.71971,75.857891
193,193288,15.03,11,10.932,0,0,0,0,0.921,GCM,0,0.3417,0.4198,0.2567,287.69,22.71962,75.857837
194,194291,23.32,8,10.052,0,0,0,0,0.9163,GCM,0,0.3426,0.4209,0.2579,289.49,22.719696,75.85792
195,195292,15.84,12,10.637,0,0,0,0,0.9054,GCM,0,0.3448,0.4237,0.2605,290.86,22.719672,75.857844
196,196296,22.87,10,10.446,0,0,0,0,0.9107,GCM,0,0.3437,0.4223,0.2592,288.2,22.719729,75.857913
197,197298,18.06,7,9.412,0,0,0,0,0.9081,GCM,0,0.3443,0.423,0.2599,287.77,22.719674,75.857886
198,198300,20.56,8,8.988,0,0,0,0,0.9135,GCM,0,0.3432,0.4216,0.2586,287.91,22.719694,75.857922
199,199302,19.82,12,9.892,0,0,0,0,0.9148,GCM,0,0.3429,0.4213,0.2582,289.13,22.719688,75.857916
200,200305,13.77,12,10.524,0,0,0,0,0.9077,GCM,0,0.3444,0.4231,0.26,290.06,22.719608,75.857828
201,201307,10.74,12,10.967,0,0,0,0,0.9076,GCM,0,0.3444,0.4231,0.26,287.14,22.719579,75.857814
202,202307,33.7,6,9.477,0,0,0,0,0.9121,GCM,0,0.3435,0.422,0.2589,287.45,22.719793,75.85804
203,203309,16.55,8,9.034,0,0,0,0,0.908,GCM,0,0.3443,0.423,0.2599,286.81,22.719666,75.85786
204,204312,15.43,7,8.424,0,0,0,0,0.909,GCM,0,0.3441,0.4228,0.2596,286.78,22.719629,75.857853
205,205314,8.73,12,9.497,0,0,0,0,0.9082,GCM,0,0.3443,0.4229,0.2598,286.54,22.719596,75.857802
206,206318,14.59,12,10.248,0,0,0,0,0.8966,GCM,0,0.3466,0.4258,0.2626,286.64,22.719632,75.857825
207,207321,18.22,8,9.573,0,0,0,0,0.9056,GCM,0,0.3448,0.4236,0.2605,287.8,22.719643,75.857861
208,208324,7.09,12,10.301,0,0,0,0,0.9023,GCM,0,0.3455,0.4244,0.2613,286.05,22.719576,75.857781
209,209324,12.65,12,10.811,0,0,0,0,0.9065,GCM,0,0.3446,0.4234,0.2602,288.99,22.719626,75.85783
210,210327,19.25,6,9.368,0,0,0,0,0.9014,GCM,0,0.3456,0.4247,0.2615,289.1,22.719672,75.857888
211,211329,17.72,11,9.857,0,0,0,0,0.9111,GCM,0,0.3437,0.4222,0.2591,288.11,22.719648,75.85786
212,212333,11.13,12,10.5,0,0,0,0,0.9147,GCM,0,0.3429,0.4213,0.2583,286.91,22.719581,75.857821
213,213336,14.93,5,8.85,0,0,0,0,0.9046,GCM,0,0.345,0.4239,0.2607,287.68,22.719624,75.857843
214,214336,13.2,12,9.795,0,0,0,0,0.9122,GCM,0,0.3435,0.422,0.2589,287.57,22.719626,75.857836
215,215339,17.85,7,8.957,0,0,0,0,0.9021,GCM,0,0.3455,0.4245,0.2613,288.3,22.719664,75.85787
216,216340,21.2,5,7.77,0,0,0,0,0.8944,GCM,0,0.3471,0.4264,0.2632,291.07,22.719697,75.8579
217,217341,19.5,12,9.039,0,0,0,0,0.9034,GCM,0,0.3452,0.4241,0.261,289.76,22.719655,75.857893
218,218344,18.84,7,8.427,0,0,0,0,0.8986,GCM,0,0.3462,0.4253,0.2622,289.11,22.719676,75.857904
