Sequence,Mode,Temperature,Pressure,Latitude,Longitude,SNR,PER,AuthFail,Policy,PerRadio,PerAuth,Battery,SelectedMode,Cost
99,0,26.1,0.0,0.0,0.0,9,0.035,0.0,BestEffort,0.037,0.0,1.0,CTR,0.3496
100,0,25.47,0.0,0.0,0.0,9,0.035,0.0,BestEffort,0.037,0.0,1.0,CTR,0.3494
101,0,25.82,0.0,0.0,0.0,9,0.035,0.0,BestEffort,0.037,0.0,1.0,CTR,0.3493
102,0,25.55,0.0,0.0,0.0,9,0.035,0.0,BestEffort,0.036,0.0,1.0,CTR,0.3491
103,0,25.82,0.0,0.0,0.0,9,0.035,0.0,BestEffort,0.036,0.0,1.0,CTR,0.349
104,0,26.21,0.0,0.0,0.0,9,0.035,0.0,BestEffort,0.036,0.0,1.0,CTR,0.3488
105,0,25.33,0.0,0.0,0.0,10,0.035,0.0,BestEffort,0.036,0.0,1.0,CTR,0.3487
106,0,26.02,0.0,0.0,0.0,7,0.035,0.0,BestEffort,0.036,0.0,1.0,CTR,0.3485
107,0,25.38,0.0,0.0,0.0,10,0.035,0.0,BestEffort,0.036,0.0,1.0,CTR,0.3484
108,0,26.22,0.0,0.0,0.0,9,0.035,0.0,BestEffort,0.035,0.0,1.0,CTR,0.3482
109,0,25.81,0.0,0.0,0.0,10,0.035,0.0,BestEffort,0.035,0.0,1.0,CTR,0.3481
110,0,26.21,0.0,0.0,0.0,9,0.035,0.0,BestEffort,0.035,0.0,1.0,CTR,0.348
111,0,25.3,0.0,0.0,0.0,9,0.035,0.0,BestEffort,0.035,0.0,1.0,CTR,0.3478
112,0,26.29,0.0,0.0,0.0,9,0.035,0.0,BestEffort,0.035,0.0,1.0,CTR,0.3477
113,0,26.18,0.0,0.0,0.0,9,0.035,0.0,BestEffort,0.034,0.0,1.0,CTR,0.3475
114,0,25.73,0.0,0.0,0.0,9,0.035,0.0,BestEffort,0.034,0.0,1.0,CTR,0.3474
115,0,25.95,0.0,0.0,0.0,9,0.035,0.0,BestEffort,0.034,0.0,1.0,CTR,0.3473
116,0,25.44,0.0,0.0,0.0,9,0.035,0.0,BestEffort,0.034,0.0,1.0,CTR,0.3471
117,0,26.28,0.0,0.0,0.0,9,0.035,0.0,BestEffort,0.034,0.0,1.0,CTR,0.347
118,0,25.42,0.0,0.0,0.0,9,0.035,0.0,BestEffort,0.034,0.0,1.0,CTR,0.3469
119,0,25.84,0.0,0.0,0.0,9,0.035,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3467
120,0,25.77,0.0,0.0,0.0,9,0.035,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3466
121,0,26.09,0.0,0.0,0.0,9,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3465
122,0,26.04,0.0,0.0,0.0,10,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3464
123,0,25.93,0.0,0.0,0.0,9,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3462
124,0,25.69,0.0,0.0,0.0,10,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3461
125,0,26.01,0.0,0.0,0.0,8,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.346
126,0,25.63,0.0,0.0,0.0,9,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3459
127,0,25.98,0.0,0.0,0.0,9,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3457
128,0,25.59,0.0,0.0,0.0,9,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3456
129,0,25.57,0.0,0.0,0.0,9,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3455
130,0,25.52,0.0,0.0,0.0,10,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3454
131,0,26.06,0.0,0.0,0.0,9,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3453
132,0,26.2,0.0,0.0,0.0,9,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3452
133,0,25.3,0.0,0.0,0.0,7,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.345
134,0,25.73,0.0,0.0,0.0,1,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3449
135,0,25.48,0.0,0.0,0.0,8,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3448
136,0,25.38,0.0,0.0,0.0,2,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3447
137,0,26.24,0.0,0.0,0.0,8,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3446
138,0,26.01,0.0,0.0,0.0,8,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3445
139,0,25.71,0.0,0.0,0.0,7,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3444
140,0,25.55,0.0,0.0,0.0,7,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3443
141,0,26.15,0.0,0.0,0.0,5,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3442
142,0,25.66,0.0,0.0,0.0,7,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3441
143,0,25.63,0.0,0.0,0.0,5,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.344
144,0,25.32,0.0,0.0,0.0,7,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3439
145,0,25.7,0.0,0.0,0.0,7,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3438
146,0,25.7,0.0,0.0,0.0,5,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3436
147,0,26.21,0.0,0.0,0.0,5,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3435
148,0,25.95,0.0,0.0,0.0,6,0.031,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3434
149,0,26.22,0.0,0.0,0.0,7,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3434
150,0,25.79,0.0,0.0,0.0,5,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3433
151,0,25.76,0.0,0.0,0.0,5,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3432
152,0,25.53,0.0,0.0,0.0,4,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3431
153,0,25.69,0.0,0.0,0.0,4,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.343
154,0,25.7,0.0,0.0,0.0,3,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3429
155,0,25.62,0.0,0.0,0.0,2,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3428
156,0,25.99,0.0,0.0,0.0,3,0.027,0.0,BestEffort,0.028,0.0,1.0,CTR,0.3427
157,0,26.05,0.0,0.0,0.0,0,0.027,0.0,BestEffort,0.028,0.0,1.0,CTR,0.3426
158,0,25.87,0.0,0.0,0.0,-1,0.027,0.0,BestEffort,0.028,0.0,1.0,CTR,0.3425
159,0,26.19,0.0,0.0,0.0,-2,0.027,0.0,BestEffort,0.028,0.0,1.0,CTR,0.3424
160,0,25.49,0.0,0.0,0.0,0,0.027,0.0,BestEffort,0.028,0.0,1.0,CTR,0.3423
161,0,25.78,0.0,0.0,0.0,2,0.027,0.0,BestEffort,0.028,0.0,1.0,CTR,0.3422
162,0,25.57,0.0,0.0,0.0,1,0.027,0.0,BestEffort,0.028,0.0,1.0,CTR,0.3421
163,0,25.31,0.0,0.0,0.0,1,0.027,0.0,BestEffort,0.028,0.0,1.0,CTR,0.342
164,0,25.68,0.0,0.0,0.0,0,0.027,0.0,BestEffort,0.028,0.0,1.0,CTR,0.342
165,0,25.72,0.0,0.0,0.0,0,0.027,0.0,BestEffort,0.027,0.0,1.0,CTR,0.3419
166,0,26.03,0.0,0.0,0.0,-1,0.027,0.0,BestEffort,0.027,0.0,1.0,CTR,0.3418
167,0,26.26,0.0,22.7593,75.8256,-1,0.027,0.0,BestEffort,0.027,0.0,1.0,CTR,0.3417
168,0,26.05,0.0,22.7593,75.8257,-1,0.027,0.0,BestEffort,0.027,0.0,1.0,CTR,0.3416
169,0,26.12,0.0,22.7592,75.8257,0,0.027,0.0,BestEffort,0.027,0.0,1.0,CTR,0.3415
170,0,25.37,0.0,22.7592,75.8257,-2,0.027,0.0,BestEffort,0.027,0.0,1.0,CTR,0.3414
171,0,25.73,0.0,22.7592,75.8257,-4,0.027,0.0,BestEffort,0.027,0.0,1.0,CTR,0.3414
172,0,25.91,0.0,22.7592,75.8257,-3,0.027,0.0,BestEffort,0.027,0.0,1.0,CTR,0.3413
173,0,25.51,0.0,22.7593,75.8257,-2,0.027,0.0,BestEffort,0.027,0.0,1.0,CTR,0.3412
174,0,25.3,0.0,22.7593,75.8257,-8,0.027,0.0,BestEffort,0.027,0.0,1.0,CTR,0.3411
175,0,26.17,0.0,22.7593,75.8257,-4,0.027,0.0,BestEffort,0.026,0.0,1.0,CTR,0.341
176,0,26.15,0.0,22.7593,75.8257,-6,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.344
177,0,26.08,0.0,22.7593,75.8257,-5,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3439
178,0,25.45,0.0,22.7593,75.8257,-6,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3438
179,0,25.59,0.0,22.7593,75.8257,-6,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3437
180,0,26.24,0.0,22.7593,75.8257,-5,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3436
181,0,25.92,0.0,22.7593,75.8257,-4,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3435
182,0,25.96,0.0,22.7593,75.8257,-6,0.031,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3434
183,0,25.85,0.0,22.7593,75.8257,-5,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3434
184,0,25.8,0.0,22.7593,75.8257,-6,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3433
185,0,25.35,0.0,22.7593,75.8257,-4,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3432
186,0,25.72,0.0,22.7593,75.8257,-5,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3431
187,0,25.95,0.0,22.7593,75.8257,-5,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.343
188,0,26.12,0.0,22.7593,75.8257,-5,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3429
189,0,25.98,0.0,22.7593,75.8257,-5,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3429
190,0,25.62,0.0,22.7593,75.8257,-5,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3428
191,0,25.63,0.0,22.7593,75.8257,-1,0.027,0.0,BestEffort,0.028,0.0,1.0,CTR,0.3427
192,0,25.78,0.0,22.7593,75.8257,-1,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3455
193,0,25.51,0.0,22.7593,75.8257,-2,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3454
194,0,25.98,0.0,22.7593,75.8257,-3,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3453
195,0,25.48,0.0,22.7593,75.8257,-3,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3452
196,0,25.64,0.0,22.7593,75.8257,-5,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3451
197,0,25.56,0.0,22.7593,75.8257,-4,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.345
198,0,25.95,0.0,22.7593,75.8257,-7,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3449
199,0,25.75,0.0,22.7593,75.8257,-5,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3448
200,0,26.0,0.0,22.7593,75.8257,-5,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3448
201,0,25.33,0.0,22.7593,75.8257,-5,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3447
202,0,25.33,0.0,22.7593,75.8257,-5,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3446
203,0,26.16,0.0,22.7593,75.8257,-8,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3445
204,0,26.28,0.0,22.7593,75.8257,-8,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3444
205,0,25.8,0.0,22.7593,75.8257,-7,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3443
206,0,25.92,0.0,22.7593,75.8257,-6,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3442
207,0,25.49,0.0,22.7593,75.8256,-7,0.035,0.0,BestEffort,0.034,0.0,1.0,CTR,0.3469
208,0,25.98,0.0,22.7594,75.8256,-4,0.035,0.0,BestEffort,0.034,0.0,1.0,CTR,0.3468
209,0,25.98,0.0,22.7594,75.8256,-8,0.035,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3467
210,0,25.65,0.0,22.7593,75.8256,-2,0.035,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3466
211,0,26.24,0.0,22.7594,75.8256,-1,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3465
212,0,25.43,0.0,22.7594,75.8256,1,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3464
213,0,26.19,0.0,22.7594,75.8256,-2,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3463
214,0,25.89,0.0,22.7594,75.8256,-1,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3463
215,0,25.63,0.0,22.7594,75.8256,-2,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3462
216,0,25.7,0.0,22.7594,75.8256,0,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3461
217,0,26.16,0.0,22.7594,75.8256,0,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.346
218,0,25.55,0.0,22.7594,75.8256,0,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3459
219,0,25.47,0.0,22.7594,75.8256,1,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3458
220,0,25.59,0.0,22.7594,75.8256,3,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3457
221,0,25.73,0.0,22.7594,75.8256,3,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3457
222,0,25.58,0.0,22.7594,75.8256,4,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3456
223,0,25.99,0.0,22.7594,75.8256,4,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3455
224,0,26.07,0.0,22.7594,75.8256,5,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3454
225,0,25.93,0.0,22.7594,75.8256,6,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3453
226,0,25.97,0.0,22.7594,75.8256,6,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3452
227,0,26.29,0.0,22.7594,75.8256,4,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3452
228,0,25.4,0.0,22.7594,75.8256,5,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3451
229,0,25.99,0.0,22.7594,75.8256,-4,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.345
230,0,25.67,0.0,22.7594,75.8256,-2,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3449
231,0,25.98,0.0,22.7594,75.8256,7,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3449
232,0,26.28,0.0,22.7594,75.8256,4,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3448
233,0,25.98,0.0,22.7595,75.8256,3,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3447
234,0,26.06,0.0,22.7595,75.8256,4,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3446
235,0,25.77,0.0,22.7595,75.8256,7,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3445
236,0,25.4,0.0,22.7595,75.8256,7,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3445
237,0,25.77,0.0,22.7595,75.8256,8,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3444
238,0,26.05,0.0,22.7595,75.8256,9,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3443
