Sequence,Mode,Temperature,Pressure,Latitude,Longitude,SNR,PER,AuthFail,Policy,PerRadio,PerAuth,Battery,SelectedMode,Cost,Energy_per_packet_J
25,0,25.38,1012.72,22.719719,75.857621,5,0.016,0.0132,BestEffort,0.017,0.0132,0.9692,CTR,0.3397,0.01670121951
26,0,25.87,1014.05,22.719621,75.857694,9,0.016,0.0007,BestEffort,0.017,0.0007,0.968,CTR,0.3399,0.01670121951
27,0,25.58,1013.8,22.719619,75.857737,2,0.027,0.0343,BestEffort,0.026,0.0343,0.9668,CTR,0.3473,0.01689003083
28,0,25.72,1013.87,22.719592,75.857606,7,0.023,0.0009,BestEffort,0.025,0.0009,0.9655,CTR,0.3468,0.01682088025
29,0,26.09,1013.9,22.719641,75.857646,7,0.023,0.0007,BestEffort,0.025,0.0007,0.9643,CTR,0.347,0.01682088025
30,0,25.66,1016.46,22.719631,75.857744,-3,0.023,0.0997,BestEffort,0.025,0.0997,0.9631,CTR,0.3473,0.01682088025
31,0,25.5,1012.64,22.719663,75.857714,3,0.023,0.0244,BestEffort,0.025,0.0244,0.9618,CTR,0.3475,0.01682088025
32,0,26.2,1012.48,22.719574,75.857721,4,0.023,0.0174,BestEffort,0.025,0.0174,0.9606,CTR,0.3478,0.01682088025
33,0,25.56,1012.03,22.719578,75.857793,-7,0.031,0.17,BestEffort,0.033,0.17,0.9594,CTR,0.3545,0.01695975232
34,0,25.39,1014.17,22.719576,75.857723,1,0.047,0.0405,BestEffort,0.048,0.0405,0.9582,CTR,0.3669,0.01724449108
35,0,26.27,1014.94,22.71964,75.857733,2,0.047,0.0324,BestEffort,0.048,0.0324,0.9569,CTR,0.3671,0.01724449108
36,0,25.92,1013.08,22.719675,75.857836,0,0.047,0.0473,BestEffort,0.048,0.0473,0.9557,CTR,0.3674,0.01724449108
37,0,26.24,1011.99,22.719577,75.857689,0,0.047,0.0508,BestEffort,0.047,0.0508,0.9545,CTR,0.3668,0.01724449108
38,0,26.06,1012.01,22.719579,75.85766,4,0.047,0.0191,BestEffort,0.047,0.0191,0.9532,CTR,0.367,0.01724449108
39,0,25.93,1014.23,22.719616,75.857721,5,0.047,0.0105,BestEffort,0.047,0.0105,0.952,CTR,0.3673,0.01724449108
40,0,25.34,1014.36,22.719588,75.857722,-2,0.047,0.0888,BestEffort,0.046,0.0888,0.9508,CTR,0.3667,0.01724449108
41,0,25.88,1014.06,22.719648,75.857674,6,0.047,0.0009,BestEffort,0.046,0.0009,0.9495,CTR,0.367,0.01724449108
42,0,25.3,1012.25,22.719487,75.857648,8,0.047,0.0006,BestEffort,0.045,0.0006,0.9483,CTR,0.3664,0.01724449108
43,2,26.27,1013.6,22.719559,75.857815,7,0.047,0.0009,BestEffort,0.045,0.0009,0.9471,GCM,0.4315,0.01724449108
44,2,26.27,1013.43,22.719561,75.857716,8,0.043,0.0008,BestEffort,0.045,0.0008,0.9458,GCM,0.4317,0.01717241379
45,2,26.09,1013.58,22.719484,75.857663,9,0.043,0.001,BestEffort,0.044,0.001,0.9446,GCM,0.4313,0.01717241379
46,2,26.23,1014.56,22.719552,75.857746,9,0.043,0.001,BestEffort,0.044,0.001,0.9434,GCM,0.4316,0.01717241379
47,2,26.29,1013.59,22.719554,75.857695,9,0.043,0.0005,BestEffort,0.044,0.0005,0.9422,GCM,0.4315,0.01717241379
48,2,26.18,1014.27,22.71959,75.857687,8,0.043,0.0007,BestEffort,0.043,0.0007,0.9409,GCM,0.4311,0.01717241379
49,2,25.49,1013.35,22.719656,75.857728,9,0.043,0.0008,BestEffort,0.043,0.0008,0.9397,GCM,0.4315,0.01717241379
50,2,26.03,1013.68,22.719588,75.857635,9,0.043,0.0006,BestEffort,0.043,0.0006,0.9385,GCM,0.4316,0.01717241379
51,2,25.93,1014.2,22.719548,75.857718,11,0.043,0.0007,BestEffort,0.043,0.0007,0.9372,GCM,0.432,0.01717241379
52,2,25.85,1011.06,22.719597,75.857796,10,0.043,0.001,BestEffort,0.042,0.001,0.936,GCM,0.4317,0.01717241379
53,2,25.6,1012.77,22.719652,75.857723,9,0.043,0.0005,BestEffort,0.042,0.0005,0.9348,GCM,0.4315,0.01717241379
54,2,26.05,1012.54,22.719551,75.857681,9,0.043,0.0007,BestEffort,0.042,0.0007,0.9335,GCM,0.432,0.01717241379
55,2,25.94,1012.29,22.719554,75.857675,8,0.043,0.0009,BestEffort,0.041,0.0009,0.9323,GCM,0.4316,0.01717241379
56,2,25.94,1012.84,22.719628,75.857679,9,0.039,0.0007,BestEffort,0.041,0.0007,0.9311,GCM,0.4317,0.01710093652
57,2,26.29,1015.49,22.719589,75.857687,9,0.039,0.0007,BestEffort,0.041,0.0007,0.9298,GCM,0.432,0.01710093652
58,2,26.09,1011.95,22.719632,75.857681,9,0.047,0.001,BestEffort,0.047,0.001,0.9286,GCM,0.4377,0.01724449108
59,2,25.93,1014.7,22.719599,75.857746,10,0.047,0.0007,BestEffort,0.047,0.0007,0.9274,GCM,0.4378,0.01724449108
60,2,25.61,1010.73,22.719635,75.857613,9,0.047,0.0006,BestEffort,0.047,0.0006,0.9262,GCM,0.438,0.01724449108
61,2,26.05,1012.75,22.719548,75.857743,9,0.047,0.0005,BestEffort,0.046,0.0005,0.9249,GCM,0.4373,0.01724449108
62,2,25.82,1013.49,22.719599,75.857681,10,0.047,0.001,BestEffort,0.046,0.001,0.9237,GCM,0.438,0.01724449108
63,2,25.49,1014.13,22.719589,75.857719,10,0.047,0.0006,BestEffort,0.046,0.0006,0.9225,GCM,0.438,0.01724449108
64,2,26.13,1014.32,22.719539,75.857644,9,0.047,0.0008,BestEffort,0.045,0.0008,0.9212,GCM,0.4376,0.01724449108
65,2,25.33,1014.44,22.719522,75.857766,9,0.047,0.0005,BestEffort,0.045,0.0005,0.92,GCM,0.4376,0.01724449108
66,2,25.43,1012.73,22.719634,75.857762,9,0.043,0.0007,BestEffort,0.045,0.0007,0.9188,GCM,0.4381,0.01717241379
67,2,26.21,1012.56,22.719582,75.857748,9,0.043,0.001,BestEffort,0.045,0.001,0.9175,GCM,0.4386,0.01717241379
68,2,26.1,1014.54,22.719549,75.857624,9,0.043,0.0008,BestEffort,0.044,0.0008,0.9163,GCM,0.4379,0.01717241379
69,2,25.87,1012.96,22.719595,75.857741,9,0.043,0.001,BestEffort,0.044,0.001,0.9151,GCM,0.4383,0.01717241379
70,2,25.52,1011.34,22.719656,75.85772,10,0.043,0.0006,BestEffort,0.044,0.0006,0.9138,GCM,0.4383,0.01717241379
71,2,25.73,1011.55,22.719486,75.85762,9,0.043,0.0008,BestEffort,0.043,0.0008,0.9126,GCM,0.4379,0.01717241379
72,2,26.13,1011.87,22.719525,75.857699,9,0.043,0.0009,BestEffort,0.043,0.0009,0.9114,GCM,0.4383,0.01717241379
73,2,25.82,1014,22.719554,75.857718,9,0.043,0.0007,BestEffort,0.043,0.0007,0.9102,GCM,0.4384,0.01717241379
74,2,25.66,1013.46,22.719673,75.857728,9,0.043,0.0006,BestEffort,0.043,0.0006,0.9089,GCM,0.4386,0.01717241379
75,2,25.91,1014.29,22.719614,75.857709,9,0.043,0.0009,BestEffort,0.042,0.0009,0.9077,GCM,0.4383,0.01717241379
76,2,26.16,1012.61,22.719638,75.857715,9,0.043,0.0007,BestEffort,0.042,0.0007,0.9065,GCM,0.4384,0.01717241379
77,2,25.41,1013.49,22.719543,75.857774,9,0.043,0.0008,BestEffort,0.042,0.0008,0.9052,GCM,0.4388,0.01717241379
78,2,26.18,1014.19,22.719544,75.857761,9,0.043,0.001,BestEffort,0.042,0.001,0.904,GCM,0.4393,0.01717241379
79,2,25.42,1012.79,22.719622,75.857557,9,0.043,0.0006,BestEffort,0.041,0.0006,0.9028,GCM,0.4383,0.01717241379
80,2,25.58,1013.94,22.719603,75.857684,10,0.043,0.0007,BestEffort,0.041,0.0007,0.9015,GCM,0.4387,0.01717241379
81,2,25.83,1012.26,22.719627,75.857692,9,0.039,0.0005,BestEffort,0.041,0.0005,0.9003,GCM,0.4388,0.01710093652
82,2,26.1,1012.71,22.719591,75.857612,10,0.039,0.0007,BestEffort,0.041,0.0007,0.8991,GCM,0.4393,0.01710093652
83,2,26.01,1012.68,22.719614,75.857705,9,0.039,0.0006,BestEffort,0.04,0.0006,0.8978,GCM,0.4387,0.01710093652
84,2,25.94,1011.46,22.719608,75.857762,9,0.039,0.0008,BestEffort,0.04,0.0008,0.8966,GCM,0.4391,0.01710093652
85,2,25.94,1013.98,22.719639,75.857646,10,0.039,0.0006,BestEffort,0.04,0.0006,0.8954,GCM,0.4392,0.01710093652
86,2,25.75,1012.55,22.71964,75.857717,9,0.039,0.0008,BestEffort,0.04,0.0008,0.8942,GCM,0.4397,0.01710093652
87,2,25.96,1013.27,22.719519,75.857654,9,0.039,0.0006,BestEffort,0.04,0.0006,0.8929,GCM,0.4398,0.01710093652
88,2,26.07,1013.97,22.719488,75.857666,9,0.039,0.0007,BestEffort,0.039,0.0007,0.8917,GCM,0.4393,0.01710093652
89,2,25.88,1013.92,22.71965,75.857774,10,0.039,0.0007,BestEffort,0.039,0.0007,0.8905,GCM,0.4396,0.01710093652
90,2,26.11,1014.25,22.719659,75.857673,9,0.039,0.0009,BestEffort,0.039,0.0009,0.8892,GCM,0.4401,0.01710093652
91,2,25.47,1013.1,22.719549,75.857723,9,0.039,0.0007,BestEffort,0.039,0.0007,0.888,GCM,0.4402,0.01710093652
92,2,25.66,1012.62,22.719507,75.857606,9,0.039,0.0007,BestEffort,0.038,0.0007,0.8868,GCM,0.4396,0.01710093652
93,2,25.77,1013.13,22.719605,75.857793,10,0.039,0.0009,BestEffort,0.038,0.0009,0.8855,GCM,0.4401,0.01710093652
94,2,25.51,1010.72,22.719647,75.85773,9,0.039,0.0008,BestEffort,0.038,0.0008,0.8843,GCM,0.4403,0.01710093652
95,2,25.63,1011.08,22.71969,75.857691,9,0.039,0.0006,BestEffort,0.038,0.0006,0.8831,GCM,0.4404,0.01710093652
96,2,26.05,1011.27,22.719626,75.857729,10,0.039,0.001,BestEffort,0.038,0.001,0.8818,GCM,0.4411,0.01710093652
97,2,25.98,1011.75,22.719581,75.85763,9,0.039,0.0007,BestEffort,0.037,0.0007,0.8806,GCM,0.4403,0.01710093652
98,2,25.37,1013.85,22.719555,75.857759,10,0.035,0.0005,BestEffort,0.037,0.0005,0.8794,GCM,0.4404,0.01703005181
99,2,26.1,1011.89,22.719601,75.857684,9,0.035,0.0007,BestEffort,0.037,0.0007,0.8782,GCM,0.4408,0.01703005181
100,2,25.47,1012.68,22.719585,75.85769,9,0.035,0.0006,BestEffort,0.037,0.0006,0.8769,GCM,0.4411,0.01703005181
101,2,25.82,1015.2,22.719549,75.857675,9,0.035,0.0006,BestEffort,0.037,0.0006,0.8757,GCM,0.4413,0.01703005181
102,2,25.55,1012.72,22.719702,75.857671,9,0.035,0.0009,BestEffort,0.036,0.0009,0.8745,GCM,0.441,0.01703005181
103,2,25.82,1014.36,22.719689,75.857735,9,0.035,0.0006,BestEffort,0.036,0.0006,0.8732,GCM,0.4411,0.01703005181
104,2,26.21,1011.85,22.719657,75.857713,9,0.035,0.0009,BestEffort,0.036,0.0009,0.872,GCM,0.4416,0.01703005181
105,2,25.33,1012.94,22.719554,75.857733,10,0.035,0.001,BestEffort,0.036,0.001,0.8708,GCM,0.442,0.01703005181
106,2,26.02,1011.82,22.719643,75.8577,7,0.035,0.0008,BestEffort,0.036,0.0008,0.8695,GCM,0.4421,0.01703005181
107,2,25.38,1012.74,22.719632,75.857726,10,0.035,0.0009,BestEffort,0.036,0.0009,0.8683,GCM,0.4425,0.01703005181
108,2,26.22,1014.51,22.719622,75.857679,9,0.035,0.0009,BestEffort,0.035,0.0009,0.8671,GCM,0.4419,0.01703005181
109,2,25.81,1010.66,22.719662,75.857811,10,0.035,0.001,BestEffort,0.035,0.001,0.8658,GCM,0.4423,0.01703005181
110,2,26.21,1013.9,22.719632,75.857622,9,0.035,0.0007,BestEffort,0.035,0.0007,0.8646,GCM,0.4423,0.01703005181
111,2,25.3,1013.61,22.719637,75.857763,9,0.035,0.0006,BestEffort,0.035,0.0006,0.8634,GCM,0.4425,0.01703005181
112,2,26.29,1012.36,22.719632,75.857768,9,0.035,0.0008,BestEffort,0.035,0.0008,0.8622,GCM,0.443,0.01703005181
113,2,26.18,1011.08,22.719617,75.857657,9,0.035,0.0008,BestEffort,0.034,0.0008,0.8609,GCM,0.4425,0.01703005181
114,2,25.73,1013.36,22.719511,75.857811,9,0.035,0.0006,BestEffort,0.034,0.0006,0.8597,GCM,0.4426,0.01703005181
115,2,25.95,1012.46,22.719604,75.85775,9,0.035,0.0008,BestEffort,0.034,0.0008,0.8585,GCM,0.443,0.01703005181
116,2,25.44,1013.6,22.719572,75.857749,9,0.035,0.0005,BestEffort,0.034,0.0005,0.8572,GCM,0.4431,0.01703005181
117,2,26.28,1013.28,22.719536,75.857701,9,0.035,0.001,BestEffort,0.034,0.001,0.856,GCM,0.4438,0.01703005181
118,2,25.42,1015.65,22.719684,75.857689,9,0.035,0.0006,BestEffort,0.034,0.0006,0.8548,GCM,0.4437,0.01703005181
119,2,25.84,1012.89,22.719686,75.85769,9,0.035,0.0005,BestEffort,0.033,0.0005,0.8535,GCM,0.4431,0.01703005181
120,2,25.77,1011.71,22.719668,75.85772,9,0.035,0.0006,BestEffort,0.033,0.0006,0.8523,GCM,0.4435,0.01703005181
121,2,26.09,1013.52,22.719613,75.85777,9,0.031,0.0006,BestEffort,0.033,0.0006,0.8511,GCM,0.4438,0.01695975232
122,2,26.04,1013.58,22.719668,75.857709,10,0.031,0.0006,BestEffort,0.033,0.0006,0.8498,GCM,0.4441,0.01695975232
123,2,25.93,1015.29,22.719601,75.857654,9,0.031,0.0005,BestEffort,0.033,0.0005,0.8486,GCM,0.4443,0.01695975232
124,2,25.69,1014.5,22.71961,75.857741,10,0.031,0.0006,BestEffort,0.033,0.0006,0.8474,GCM,0.4446,0.01695975232
125,2,26.01,1013.79,22.719545,75.857746,8,0.031,0.0006,BestEffort,0.033,0.0006,0.8462,GCM,0.4449,0.01695975232
126,2,25.63,1015.44,22.71962,75.857733,9,0.031,0.0007,BestEffort,0.032,0.0007,0.8449,GCM,0.4445,0.01695975232
127,2,25.98,1011.47,22.719603,75.857737,9,0.031,0.0007,BestEffort,0.032,0.0007,0.8437,GCM,0.4447,0.01695975232
128,2,25.59,1012.29,22.719535,75.857686,9,0.031,0.0007,BestEffort,0.032,0.0007,0.8425,GCM,0.445,0.01695975232
129,2,25.57,1011.86,22.719597,75.857654,9,0.031,0.0007,BestEffort,0.032,0.0007,0.8412,GCM,0.4453,0.01695975232
130,2,25.52,1012.67,22.719596,75.857657,10,0.031,0.0005,BestEffort,0.032,0.0005,0.84,GCM,0.4454,0.01695975232
131,2,26.06,1011.18,22.71969,75.857618,9,0.031,0.0005,BestEffort,0.032,0.0005,0.8388,GCM,0.4457,0.01695975232
132,2,26.2,1014.2,22.719645,75.857712,9,0.031,0.0006,BestEffort,0.032,0.0006,0.8375,GCM,0.4461,0.01695975232
133,2,25.3,1012.92,22.719601,75.857696,7,0.031,0.0009,BestEffort,0.031,0.0009,0.8363,GCM,0.4458,0.01695975232
134,2,25.73,1011.04,22.719612,75.857678,1,0.031,0.044,BestEffort,0.031,0.044,0.8351,GCM,0.4835,0.01695975232
135,2,25.48,1011.73,22.719602,75.857552,8,0.031,0.001,BestEffort,0.031,0.001,0.8338,GCM,0.4465,0.01695975232
136,2,25.38,1013.72,22.71959,75.857638,2,0.031,0.0338,BestEffort,0.031,0.0338,0.8326,GCM,0.4751,0.01695975232
137,2,26.24,1014.51,22.719546,75.857756,8,0.031,0.0008,BestEffort,0.031,0.0008,0.8314,GCM,0.4469,0.01695975232
138,2,26.01,1016.25,22.719592,75.857667,8,0.031,0.0007,BestEffort,0.031,0.0007,0.8302,GCM,0.4471,0.01695975232
139,2,25.71,1017.62,22.719563,75.857718,7,0.031,0.0009,BestEffort,0.031,0.0009,0.8289,GCM,0.4476,0.01695975232
140,2,25.55,1013.87,22.719537,75.85763,7,0.031,0.0009,BestEffort,0.03,0.0009,0.8277,GCM,0.447,0.01695975232
141,2,26.15,1011.77,22.719626,75.857772,5,0.031,0.0113,BestEffort,0.03,0.0113,0.8265,GCM,0.4562,0.01695975232
142,2,25.66,1010.05,22.71962,75.857693,7,0.031,0.0009,BestEffort,0.03,0.0009,0.8252,GCM,0.4476,0.01695975232
143,2,25.63,1013.65,22.719511,75.857715,5,0.031,0.0116,BestEffort,0.03,0.0116,0.824,GCM,0.4571,0.01695975232
144,2,25.32,1012.03,22.719594,75.857816,7,0.031,0.0009,BestEffort,0.03,0.0009,0.8228,GCM,0.4482,0.01695975232
145,2,25.7,1012.63,22.71965,75.857776,7,0.031,0.0009,BestEffort,0.03,0.0009,0.8215,GCM,0.4485,0.01695975232
146,2,25.7,1012.33,22.719653,75.857685,5,0.031,0.0117,BestEffort,0.03,0.0117,0.8203,GCM,0.458,0.01695975232
147,2,26.21,1013.04,22.719651,75.85767,5,0.031,0.0084,BestEffort,0.03,0.0084,0.8191,GCM,0.4555,0.01695975232
148,2,25.95,1014.85,22.719602,75.857684,6,0.031,0.0005,BestEffort,0.029,0.0005,0.8178,GCM,0.4482,0.01695975232
149,2,26.22,1013.49,22.719558,75.857725,7,0.027,0.001,BestEffort,0.029,0.001,0.8166,GCM,0.4489,0.01689003083
150,2,25.79,1013.01,22.719546,75.857695,5,0.027,0.0105,BestEffort,0.029,0.0105,0.8154,GCM,0.4573,0.01689003083
151,2,25.76,1011.7,22.719617,75.85768,5,0.027,0.0066,BestEffort,0.029,0.0066,0.8142,GCM,0.4542,0.01689003083
152,2,25.53,1010.74,22.719619,75.857773,4,0.027,0.0166,BestEffort,0.029,0.0166,0.8129,GCM,0.4631,0.01689003083
153,0,25.69,1012.52,22.719664,75.857694,4,0.027,0.0195,BestEffort,0.029,0.0195,0.8117,CTR,0.3808,0.01689003083
154,0,25.7,1013.17,22.719655,75.857815,3,0.027,0.0254,BestEffort,0.029,0.0254,0.8105,CTR,0.381,0.01689003083
155,0,25.62,1015.9,22.719593,75.857705,2,0.027,0.033,BestEffort,0.029,0.033,0.8092,CTR,0.3813,0.01689003083
156,0,25.99,1013.45,22.719538,75.857789,3,0.027,0.0288,BestEffort,0.028,0.0288,0.808,CTR,0.3807,0.01689003083
157,0,26.05,1014.72,22.719584,75.857718,0,0.027,0.0479,BestEffort,0.028,0.0479,0.8068,CTR,0.381,0.01689003083
158,0,25.87,1012.5,22.719611,75.857748,-1,0.027,0.063,BestEffort,0.028,0.063,0.8055,CTR,0.3812,0.01689003083
159,0,26.19,1011.47,22.71959,75.857664,-2,0.027,0.0851,BestEffort,0.028,0.0851,0.8043,CTR,0.3815,0.01689003083
160,0,25.49,1011.8,22.719571,75.857657,0,0.027,0.0508,BestEffort,0.028,0.0508,0.8031,CTR,0.3817,0.01689003083
161,0,25.78,1012.16,22.719613,75.857723,2,0.027,0.035,BestEffort,0.028,0.035,0.8018,CTR,0.382,0.01689003083
162,0,25.57,1016.44,22.719575,75.857749,1,0.027,0.0438,BestEffort,0.028,0.0438,0.8006,CTR,0.3822,0.01689003083
163,0,25.31,1012.02,22.719569,75.857702,1,0.027,0.0424,BestEffort,0.028,0.0424,0.7994,CTR,0.3824,0.01689003083
164,0,25.68,1014.51,22.719616,75.857636,0,0.027,0.051,BestEffort,0.028,0.051,0.7982,CTR,0.3827,0.01689003083
165,0,25.72,1011.9,22.71958,75.857632,0,0.027,0.0495,BestEffort,0.027,0.0495,0.7969,CTR,0.3821,0.01689003083
166,0,26.03,1014.65,22.719612,75.857629,-1,0.027,0.0673,BestEffort,0.027,0.0673,0.7957,CTR,0.3824,0.01689003083
167,0,26.26,1013.83,22.719614,75.857612,-1,0.027,0.0675,BestEffort,0.027,0.0675,0.7945,CTR,0.3826,0.01689003083
168,0,26.05,1013.02,22.719543,75.857705,-1,0.027,0.0681,BestEffort,0.027,0.0681,0.7932,CTR,0.3829,0.01689003083
169,0,26.12,1013.19,22.719576,75.857756,0,0.027,0.0515,BestEffort,0.027,0.0515,0.792,CTR,0.3831,0.01689003083
170,0,25.37,1012.27,22.719672,75.857699,-2,0.027,0.0868,BestEffort,0.027,0.0868,0.7908,CTR,0.3833,0.01689003083
171,0,25.73,1013.92,22.719542,75.857587,-4,0.027,0.1182,BestEffort,0.027,0.1182,0.7895,CTR,0.3836,0.01689003083
172,0,25.91,1012.57,22.719494,75.85769,-3,0.027,0.097,BestEffort,0.027,0.097,0.7883,CTR,0.3838,0.01689003083
173,0,25.51,1011.41,22.719507,75.857692,-2,0.027,0.0843,BestEffort,0.027,0.0843,0.7871,CTR,0.3841,0.01689003083
174,0,25.3,1011.33,22.719601,75.857805,-8,0.027,0.1859,BestEffort,0.027,0.1859,0.7858,CTR,0.3843,0.01689003083
175,0,26.17,1013.51,22.719602,75.857627,-4,0.027,0.119,BestEffort,0.026,0.119,0.7846,CTR,0.3838,0.01689003083
176,0,26.15,1015.62,22.719594,75.85768,-6,0.031,0.163,BestEffort,0.03,0.163,0.7834,CTR,0.3872,0.01695975232
177,0,26.08,1013.49,22.719661,75.857785,-5,0.031,0.1324,BestEffort,0.03,0.1324,0.7822,CTR,0.3875,0.01695975232
178,0,25.45,1013.07,22.719466,75.857722,-6,0.031,0.1541,BestEffort,0.03,0.1541,0.7809,CTR,0.3877,0.01695975232
179,0,25.59,1013.68,22.71962,75.857728,-6,0.031,0.1573,BestEffort,0.03,0.1573,0.7797,CTR,0.388,0.01695975232
180,0,26.24,1015.21,22.719678,75.857706,-5,0.031,0.1355,BestEffort,0.03,0.1355,0.7785,CTR,0.3882,0.01695975232
181,0,25.92,1013.58,22.719544,75.857716,-4,0.031,0.1297,BestEffort,0.03,0.1297,0.7772,CTR,0.3885,0.01695975232
182,0,25.96,1012.63,22.719581,75.857739,-6,0.031,0.1501,BestEffort,0.029,0.1501,0.776,CTR,0.3879,0.01695975232
183,0,25.85,1014.91,22.719562,75.85766,-5,0.027,0.1366,BestEffort,0.029,0.1366,0.7748,CTR,0.3882,0.01689003083
184,0,25.8,1013.89,22.719555,75.857744,-6,0.027,0.148,BestEffort,0.029,0.148,0.7735,CTR,0.3884,0.01689003083
185,0,25.35,1015.55,22.719584,75.857631,-4,0.027,0.1162,BestEffort,0.029,0.1162,0.7723,CTR,0.3887,0.01689003083
186,0,25.72,1013.52,22.719671,75.857716,-5,0.027,0.1362,BestEffort,0.029,0.1362,0.7711,CTR,0.3889,0.01689003083
187,0,25.95,1011.41,22.719692,75.857709,-5,0.027,0.1392,BestEffort,0.029,0.1392,0.7698,CTR,0.3892,0.01689003083
188,0,26.12,1011.2,22.719583,75.857669,-5,0.027,0.1366,BestEffort,0.029,0.1366,0.7686,CTR,0.3894,0.01689003083
189,0,25.98,1015.73,22.719695,75.857699,-5,0.027,0.1413,BestEffort,0.029,0.1413,0.7674,CTR,0.3896,0.01689003083
190,0,25.62,1015.84,22.719602,75.857669,-5,0.027,0.1345,BestEffort,0.029,0.1345,0.7662,CTR,0.3899,0.01689003083
191,0,25.63,1012.98,22.719688,75.857646,-1,0.027,0.0653,BestEffort,0.028,0.0653,0.7649,CTR,0.3893,0.01689003083
192,0,25.78,1012.68,22.719595,75.857682,-1,0.031,0.0805,BestEffort,0.032,0.0805,0.7637,CTR,0.3928,0.01695975232
193,0,25.51,1015.44,22.719607,75.857645,-2,0.031,0.086,BestEffort,0.032,0.086,0.7625,CTR,0.393,0.01695975232
194,0,25.98,1011.59,22.719618,75.857716,-3,0.031,0.0974,BestEffort,0.032,0.0974,0.7612,CTR,0.3933,0.01695975232
195,0,25.48,1011.91,22.719759,75.857642,-3,0.031,0.0975,BestEffort,0.032,0.0975,0.76,CTR,0.3935,0.01695975232
196,0,25.64,1014.21,22.719643,75.857736,-5,0.031,0.1303,BestEffort,0.031,0.1303,0.7588,CTR,0.393,0.01695975232
197,0,25.56,1012.66,22.719565,75.857641,-4,0.031,0.1227,BestEffort,0.031,0.1227,0.7575,CTR,0.3932,0.01695975232
